threshold,future_max_percentile_rank,current_score_percentile_rank,n_future_positive,future_positive_rate
900,73.01038062283737,85.81314878892734,79,0.27335640138408307
950,85.81314878892734,93.42560553633218,41,0.14186851211072665
improvement >=50,,,113,0.39100346020761245
