analysis,feature_set,model,n_rows,n_athletes,target,r2_mean,r2_ci_low,r2_ci_high,r2_sd,mae_mean,mae_ci_low,mae_ci_high,rmse_mean,rmse_ci_low,rmse_ci_high
future_next_observation,g1_tests_only,Ridge,1034,289,next_points,0.21253625421379976,0.050515314829761515,0.374557193597838,0.11671106990786019,80.34856626341349,73.84634343181777,86.8507890950092,101.64849977534035,94.60191780106207,108.69508174961864
future_next_observation,g1_tests_only,RandomForest,1034,289,next_points,0.12128232974224966,-0.062392377106972666,0.304957036591472,0.13230926590651035,85.37832739860167,79.79065700017118,90.96599779703216,107.24406161972874,101.56534484940056,112.92277839005692
future_next_observation,g1_tests_only,GradientBoosting,1034,289,next_points,0.11378849787768437,-0.0742298383162872,0.3018068340716559,0.13543818016929732,85.1547087278826,78.60907109174185,91.70034636402336,107.84803657970811,99.33979530335283,116.35627785606339
future_next_observation,context_g1_no_current,Ridge,1034,289,next_points,0.3022766361587985,0.16518206611508793,0.43937120620250913,0.09875546956578041,74.932464098884,66.98520222804281,82.87972596972519,95.93321272993893,85.25271311613176,106.6137123437461
future_next_observation,context_g1_no_current,RandomForest,1034,289,next_points,0.253503903168529,0.14073595164945218,0.3662718546876058,0.08123189708160504,77.77568942548473,72.53910073713713,83.01227811383232,99.21861129183462,92.61887927943626,105.81834330423298
future_next_observation,context_g1_no_current,GradientBoosting,1034,289,next_points,0.24341565595135,0.12766476672009597,0.35916654518260405,0.0833806431213469,77.69278477797806,73.32361888962994,82.06195066632618,99.78811991763976,96.02357995023166,103.55265988504786
future_next_observation,current_only,Ridge,1034,289,next_points,0.6110220457328293,0.3536045589221052,0.8684395325435533,0.18542955258060845,43.49223835685046,35.60497015045885,51.37950656324207,69.59047810000293,49.849041101114494,89.33191509889136
future_next_observation,current_only,RandomForest,1034,289,next_points,0.6066151808266852,0.43441788177179635,0.7788124798815741,0.12404156576517021,43.60950114854113,36.91344738938754,50.30555490769471,71.12240599493143,58.07936919561752,84.16544279424534
future_next_observation,current_only,GradientBoosting,1034,289,next_points,0.609699418004298,0.41085899468705356,0.8085398413215426,0.1432338229522307,41.641639316077374,35.16554989677599,48.117728735378755,70.35674445625367,55.884747283706844,84.82874162880049
future_next_observation,context_current,Ridge,1034,289,next_points,0.6311905294684631,0.39256266192411515,0.869818397012811,0.17189453311906752,43.138243158417495,34.58179930504206,51.69468701179293,67.88603333844844,48.84352371552765,86.92854296136923
