minimum_future_observations,n_instances,n_unique_athletes,analysis,target,model,without_physical_tests,with_physical_tests,n_rows,n_athletes,bootstrap_replicates,delta_r2,delta_r2_ci_low,delta_r2_ci_high,delta_mae,delta_mae_ci_low,delta_mae_ci_high,delta_rmse,delta_rmse_ci_low,delta_rmse_ci_high
1,1041,289,future_horizon_max_min1,future_max_points,Ridge,context_current_implements,g1_current,1041,289,2000,0.010090810329413724,-0.006110866627554079,0.02646336458824467,0.054833463543779715,-1.4889989085375548,1.648850715432925,0.9689175918118451,-0.5773884112470995,2.5661612661715436
1,1041,289,future_horizon_max_min1,future_max_points,RandomForest,context_current_implements,g1_current,1041,289,2000,0.006129844069244772,-0.012167969623862246,0.025304632122344017,-0.13748389054673282,-1.6084577628408088,1.407689847142676,0.5890728775552532,-1.170935003683865,2.324529975095198
1,1041,289,future_horizon_max_min1,future_max_points,GradientBoosting,context_current_implements,g1_current,1041,289,2000,0.03969505150227448,0.012376484230249934,0.06807167864876824,2.0681650672845393,0.10846763548197151,4.03514415744404,3.7902775391736157,1.1552931170906682,6.448856833552812
2,737,185,future_horizon_max_min2,future_max_points,Ridge,context_current_implements,g1_current,737,185,2000,0.010134379867407617,-0.01372497899350239,0.03237889353147914,0.05364835776165222,-1.9655769794931541,2.012694417871123,0.8665382612215069,-1.1861844072230512,2.79375568122323
2,737,185,future_horizon_max_min2,future_max_points,RandomForest,context_current_implements,g1_current,737,185,2000,0.0047645307204375875,-0.022388837532362642,0.035771492178331726,0.18734699569746738,-1.9673214579630032,2.289357755487539,0.42224349844559583,-2.152338530366426,2.8588817008570806
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,context_current_implements,g1_current,737,185,2000,-0.01484762770308945,-0.061644379777709986,0.024077266939341646,-0.5828034329982046,-3.053683043020201,2.0805577650107576,-1.2769157219279208,-4.845333563893004,2.1054083748362666
3,524,128,future_horizon_max_min3,future_max_points,Ridge,context_current_implements,g1_current,524,128,2000,0.005759102900394941,-0.030678741604404133,0.04013246406213717,-0.5066606985528566,-3.1901443139709094,2.3384051513042534,0.4708176819079881,-2.4116455780811323,3.3796829020479993
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,context_current_implements,g1_current,524,128,2000,-0.0062916714951413155,-0.023290597366780418,0.013064337082567596,-0.6299235387355893,-2.422076601082227,1.2089816712790058,-0.5407848701294711,-2.0271398524418194,1.0125953330339494
3,524,128,future_horizon_max_min3,future_max_points,GradientBoosting,context_current_implements,g1_current,524,128,2000,-0.007204132217951131,-0.04593555990613524,0.02711575969969897,-1.7214179623016364,-4.536150612942497,1.016865288302552,-0.59185730301283,-3.541689497549643,2.270097932638881
