minimum_future_observations,n_instances,n_unique_athletes,analysis,target,model,feature_set,fold,n_rows,n_athletes,r2,mae,rmse
2,737,185,future_horizon_max_min2,future_max_points,RandomForest,g1_current,3,147,37,0.5191450477889337,53.900648680604405,71.50021211243666
2,737,185,future_horizon_max_min2,future_max_points,RandomForest,g1_current,4,147,37,0.751792325085207,49.18769530067558,65.17288663293779
2,737,185,future_horizon_max_min2,future_max_points,RandomForest,g1_current,5,147,37,0.46314221244948084,67.648370457973,87.93265045971842
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,context_current_implements,1,148,37,0.5618361136078625,45.273478296656975,65.23469021208987
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,context_current_implements,2,148,37,0.3396589084323164,56.278426101378365,73.04452642369554
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,context_current_implements,3,147,37,0.459179647799115,56.0130419490572,75.8275103423247
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,context_current_implements,4,147,37,0.7369829425479533,49.16050528787127,67.08899889302408
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,context_current_implements,5,147,37,0.4842556012316027,65.08300545593285,86.18621237651362
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,g1_current,1,148,37,0.5601146000640257,45.85882068922388,65.36271572424924
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,g1_current,2,148,37,0.28991422246086385,56.71509936353153,75.74586389375173
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,g1_current,3,147,37,0.4890418024891421,52.54969193791199,73.70432432092481
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,g1_current,4,147,37,0.7367404922593572,49.44897718204313,67.11991323859546
2,737,185,future_horizon_max_min2,future_max_points,GradientBoosting,g1_current,5,147,37,0.42555542989650774,70.15086189413825,90.95877431297878
3,524,128,future_horizon_max_min3,future_max_points,Ridge,context_current_implements,1,105,25,0.6576171788060217,44.27593026613883,55.15399026629222
3,524,128,future_horizon_max_min3,future_max_points,Ridge,context_current_implements,2,105,26,0.2794145983003786,49.59801657356586,73.9280639474089
3,524,128,future_horizon_max_min3,future_max_points,Ridge,context_current_implements,3,105,26,0.6990701380752702,53.652470944015505,64.25506457525752
3,524,128,future_horizon_max_min3,future_max_points,Ridge,context_current_implements,4,105,26,0.5927062107065313,41.442316425200026,63.13190342980319
3,524,128,future_horizon_max_min3,future_max_points,Ridge,context_current_implements,5,104,25,0.4597361227140555,79.91006489087856,97.36675578433429
3,524,128,future_horizon_max_min3,future_max_points,Ridge,g1_current,1,105,25,0.6610074597658209,44.826188687019844,54.88024300742135
3,524,128,future_horizon_max_min3,future_max_points,Ridge,g1_current,2,105,26,0.23923490475758058,53.598416211980684,75.96121319952023
3,524,128,future_horizon_max_min3,future_max_points,Ridge,g1_current,3,105,26,0.6964379581946716,54.93222848370174,64.53546655390787
3,524,128,future_horizon_max_min3,future_max_points,Ridge,g1_current,4,105,26,0.621821167174447,42.156831212783366,60.83361126473597
3,524,128,future_horizon_max_min3,future_max_points,Ridge,g1_current,5,104,25,0.48067855763241973,75.85499292407403,95.46097407471204
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,context_current_implements,1,105,25,0.580350968410522,47.06170011495413,61.06102181993287
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,context_current_implements,2,105,26,0.3270173906302989,49.671177668738856,71.44445439792786
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,context_current_implements,3,105,26,0.7242211934018774,49.26003856818106,61.51133679121585
3,524,128,future_horizon_max_min3,future_max_points,RandomForest,context_current_implements,4,105,26,0.7168637340025055,42.00678789325617,52.637195223863394
