analysis,target,model,feature_set,fold,n_rows,n_athletes,r2,mae,rmse
future_horizon_max,future_max_points,GradientBoosting,g1_current,2,208,57,0.458519288423617,57.42772994208235,81.02367146762177
future_horizon_max,future_max_points,GradientBoosting,g1_current,3,208,58,0.6780979031359129,46.70973558179265,66.83311338031663
future_horizon_max,future_max_points,GradientBoosting,g1_current,4,208,58,0.7328240066190497,38.513271983645446,57.98195058425922
future_horizon_max,future_max_points,GradientBoosting,g1_current,5,208,58,0.5680528960793387,66.45475803348863,87.77954697266469
baseline_continuous_change,future_delta_points,Ridge,context_current_implements,1,58,58,-0.307510799315154,50.8228718508208,77.87750103254767
baseline_continuous_change,future_delta_points,Ridge,context_current_implements,2,58,58,0.192187988151041,59.119204789039195,74.19954937727076
baseline_continuous_change,future_delta_points,Ridge,context_current_implements,3,58,58,0.31150487969308394,61.603908880389326,82.10281069411572
baseline_continuous_change,future_delta_points,Ridge,context_current_implements,4,58,58,0.19874556803779342,55.69706213324857,69.64724912268886
baseline_continuous_change,future_delta_points,Ridge,context_current_implements,5,57,57,0.2991719094674816,61.79338647972042,82.79867077793668
baseline_continuous_change,future_delta_points,Ridge,g1_current,1,58,58,-0.28013877158325506,50.59186625772423,77.05802797046223
baseline_continuous_change,future_delta_points,Ridge,g1_current,2,58,58,0.2006222637557149,59.42970356908046,73.81117835056632
baseline_continuous_change,future_delta_points,Ridge,g1_current,3,58,58,0.249031874209937,63.93059844270099,85.74688336386397
baseline_continuous_change,future_delta_points,Ridge,g1_current,4,58,58,0.24288602529420633,55.5517721558953,67.701669205239
baseline_continuous_change,future_delta_points,Ridge,g1_current,5,57,57,0.29732299445017185,61.95388342102568,82.90781799419383
baseline_continuous_change,future_delta_points,RandomForest,context_current_implements,1,58,58,-0.49546046729193494,53.80063249431803,83.2869260362157
baseline_continuous_change,future_delta_points,RandomForest,context_current_implements,2,58,58,0.2825172678424456,53.47332378886276,69.92811815757767
baseline_continuous_change,future_delta_points,RandomForest,context_current_implements,3,58,58,0.23240041774191478,64.97249810629464,86.69118840653401
baseline_continuous_change,future_delta_points,RandomForest,context_current_implements,4,58,58,0.25505529071597477,51.70621798824174,67.15537294926152
baseline_continuous_change,future_delta_points,RandomForest,context_current_implements,5,57,57,0.3152893738588153,61.35757645212568,81.84104164576429
baseline_continuous_change,future_delta_points,RandomForest,g1_current,1,58,58,-0.3789145541983274,52.37467709880293,79.97569865644004
baseline_continuous_change,future_delta_points,RandomForest,g1_current,2,58,58,0.28441870721609963,55.21599171597533,69.83539656167345
baseline_continuous_change,future_delta_points,RandomForest,g1_current,3,58,58,0.13788699366433932,69.77320117062598,91.87337915025961
baseline_continuous_change,future_delta_points,RandomForest,g1_current,4,58,58,0.2827752403024183,51.27510661680016,65.894077462535
baseline_continuous_change,future_delta_points,RandomForest,g1_current,5,57,57,0.3003905362346704,61.96234940594885,82.7266527049389
baseline_continuous_change,future_delta_points,GradientBoosting,context_current_implements,1,58,58,-0.7342621380105954,60.065933120792636,89.69056014800044
baseline_continuous_change,future_delta_points,GradientBoosting,context_current_implements,2,58,58,0.22062194861339934,55.63376149857484,72.88198626178026
baseline_continuous_change,future_delta_points,GradientBoosting,context_current_implements,3,58,58,0.2151932164778907,63.813586829386644,87.65747687061234
baseline_continuous_change,future_delta_points,GradientBoosting,context_current_implements,4,58,58,0.22941649880759896,52.571849939850566,68.30124158166296
baseline_continuous_change,future_delta_points,GradientBoosting,context_current_implements,5,57,57,0.2280779202180202,67.57750226477094,86.89691253406052
baseline_continuous_change,future_delta_points,GradientBoosting,g1_current,1,58,58,-0.3852193095419687,52.358409772091456,80.15832496979286
baseline_continuous_change,future_delta_points,GradientBoosting,g1_current,2,58,58,0.2130160758984374,56.63917492508666,73.23674686434718
baseline_continuous_change,future_delta_points,GradientBoosting,g1_current,3,58,58,0.1560098038691471,68.4147229101859,90.90259737941572
baseline_continuous_change,future_delta_points,GradientBoosting,g1_current,4,58,58,0.3162930968738621,50.66440377826028,64.33595140019044
baseline_continuous_change,future_delta_points,GradientBoosting,g1_current,5,57,57,0.296191226162995,64.26381057101257,82.97455896192446
