outcome,model,feature_set,n,n_positive,repeats,roc_auc_mean,roc_auc_p2_5,roc_auc_p97_5,pr_auc_mean,pr_auc_p2_5,pr_auc_p97_5,balanced_accuracy_mean,balanced_accuracy_p2_5,balanced_accuracy_p97_5,f1_mean,f1_p2_5,f1_p97_5,brier_mean,brier_p2_5,brier_p97_5
future_ge950,GradientBoosting,context_current,289,41,10,0.8219167977970102,0.7946289830841857,0.8494455645161291,0.6256615263811973,0.5706423909015753,0.678660391570857,0.7286290322580645,0.7129290420928402,0.7431697482297404,0.5687784413071263,0.5410617760617761,0.5980985915492958,0.08891873459082184,0.08010462983336201,0.09583705551704758
future_ge950,GradientBoosting,g1_current,289,41,10,0.8153766719118802,0.7735260129819042,0.8476593233674272,0.6303046929581801,0.5779927346839341,0.6820830360333126,0.7202547206923683,0.7016411782061369,0.7333681648308419,0.567111584936111,0.5247703612982241,0.6040253279059249,0.0875818438790971,0.07722299697154932,0.09651934058387096
future_ge950,LogisticRegression,context_current,289,41,10,0.8393882769472855,0.8216119197482298,0.8515465184893785,0.5568736949951009,0.5198009270582656,0.5945991034324714,0.7381835169158142,0.7149009146341464,0.7674395161290323,0.4510524981631324,0.424971084894749,0.48024002313475994,0.15667957491496504,0.15110682695147382,0.16271520604076764
future_ge950,LogisticRegression,g1_current,289,41,10,0.843705743509048,0.8268833595594021,0.8613493312352478,0.5901093699380999,0.5470365365067721,0.6207173294988313,0.7608526750590086,0.7351384244689221,0.7956911388670338,0.48305533423540065,0.4525818438080595,0.5259146341463414,0.1487241341765314,0.14105677806738076,0.15379671736760692
future_ge950,RandomForest,context_current,289,41,10,0.8433369394177813,0.8254573170731707,0.8607125295043273,0.5648544438861457,0.511132942837804,0.6188933298201824,0.7351789929189615,0.7113063040912667,0.7639432533438238,0.4884666907752454,0.46495537903304895,0.5212038069107433,0.12300914248921606,0.11879449085658866,0.12802533103558708
future_ge950,RandomForest,g1_current,289,41,10,0.8445613690007869,0.8272644571203775,0.8661585365853659,0.631340089300399,0.5959008161253672,0.6673160276169756,0.71573564122738,0.6941286388670338,0.750652783241542,0.5200990402916335,0.4792361111111111,0.5732787897499227,0.10135004406913059,0.09569065308171086,0.10657510818827437
