variable,n,missing,mean,sd,median,q1,q3,min,max
Edad,289,0,15.422135848698867,1.1630345974312182,15.27123287671233,14.55068493150685,16.16438356164383,12.86575342465753,18.98356164383562
PUNTOS,289,0,780.2006920415225,110.51156864815091,772.0,710.0,841.0,474.0,1130.0
Dorsal,289,0,13.417370242214533,2.1401054632178136,13.35,11.95,14.87,8.4,18.64
Salto Vertical,289,0,45.714472400725,8.942042728788497,45.0,39.0,51.0,25.0,71.0
Longitud PJ,289,0,2.3447539100346018,0.26125516654139846,2.32,2.144399999999997,2.5169,1.780999999999998,3.06
Triple PJ,289,0,6.895951557093425,0.9003405284055477,6.82,6.2,7.52,4.65,9.34
BOLA,289,0,4.176470588235294,1.0137937550497031,5.0,3.0,5.0,3.0,6.0
ARTEFACTO,289,0,2.470415224913495,1.6725827813064897,3.0,0.8,4.0,0.5,6.0
