variable,level,n,percent
Sexo,Masculino,160,55.36332179930796
Sexo,Femenino,129,44.636678200692046
Categoria,U16,160,55.36332179930796
Categoria,U18,107,37.0242214532872
Categoria,U20,18,6.228373702422145
Categoria,U14,4,1.384083044982699
Prueba,DISCO,77,26.643598615916954
Prueba,MARTILLO,75,25.951557093425603
Prueba,PESO,74,25.60553633217993
Prueba,JABALINA,63,21.79930795847751
