outcome,feature_set,model,n_rows,positive_rate,auc_mean,auc_ci_low,auc_ci_high,auc_sd,balanced_accuracy_mean,balanced_accuracy_ci_low,balanced_accuracy_ci_high,f1_mean,f1_ci_low,f1_ci_high
improve_ge50,context_no_current,LogisticRegression,289,0.39100346020761245,0.7117780287345505,0.6616697312542512,0.7618863262148499,0.0511309157962238,0.6656612710960538,0.60492816671823,0.7263943754738775,0.6173821243656651,0.5519458892186455,0.6828183595126847
improve_ge50,context_no_current,RandomForest,289,0.39100346020761245,0.7310424116945857,0.687615575362197,0.7744692480269745,0.0443130982983559,0.6701154401154401,0.6084478912731468,0.7317829889577334,0.6205113544736186,0.5638692137532979,0.6771534951939393
improve_ge50,context_no_current,GradientBoosting,289,0.39100346020761245,0.6712378442813225,0.6058702155604095,0.7366054730022354,0.0667016619601153,0.6156211180124224,0.5398530368555027,0.691389199169342,0.5197101449275362,0.4325693723046812,0.6068509175503912
improve_ge50,g1_no_current,LogisticRegression,289,0.39100346020761245,0.6926482213438735,0.6598867969143654,0.7254096457733816,0.03343002492806959,0.6494836564401781,0.6091577517706359,0.6898095611097204,0.595886017505127,0.5451802443753784,0.6465917906348757
improve_ge50,g1_no_current,RandomForest,289,0.39100346020761245,0.7022234770060858,0.6713620389728658,0.7330849150393057,0.03149126329920408,0.6506302151954326,0.6184302820557321,0.6828301483351331,0.5801418439716313,0.5361647143680223,0.6241189735752403
improve_ge50,g1_no_current,GradientBoosting,289,0.39100346020761245,0.6802566033000816,0.6339099040776169,0.7266033025225463,0.047292550227004806,0.6173931865236213,0.5837222188275263,0.6510641542197163,0.5264442817354351,0.48962052351389046,0.5632680399569797
improve_ge50,context_current,LogisticRegression,289,0.39100346020761245,0.7736724386724386,0.7274411177046646,0.8199037596402127,0.04717481731405518,0.7296351715916934,0.6749203042854767,0.7843500388979102,0.6810177404295052,0.6214096461174556,0.7406258347415549
improve_ge50,context_current,RandomForest,289,0.39100346020761245,0.7594322103017755,0.71078834061216,0.8080760799913911,0.04963660172409745,0.6979697597088901,0.6303992617858564,0.7655402576319238,0.6400791687283524,0.5616693176196894,0.7184890198370153
improve_ge50,context_current,GradientBoosting,289,0.39100346020761245,0.7167868122215948,0.6634581629838228,0.7701154614593668,0.054416989018134736,0.6536156597026161,0.5905272047993971,0.7167041146058352,0.5740945269762256,0.5001136211021836,0.6480754328502677
improve_ge50,g1_current,LogisticRegression,289,0.39100346020761245,0.7752230378317335,0.7353033250656714,0.8151427505977956,0.04073440078169604,0.7021488173662086,0.6591653190526909,0.7451323156797263,0.6508685640600534,0.6028720482112174,0.6988650799088895
improve_ge50,g1_current,RandomForest,289,0.39100346020761245,0.7502092352092353,0.7068704008885595,0.7935480695299112,0.04422330032722031,0.6976419474245561,0.6515153476903346,0.7437685471587776,0.6318912663038473,0.5774576704605449,0.6863248621471497
improve_ge50,g1_current,GradientBoosting,289,0.39100346020761245,0.7377467218771566,0.6980206738491587,0.7774727699051546,0.04053678370203872,0.6829261559696341,0.642494839642549,0.7233574722967192,0.6007758649619115,0.5400566761253578,0.6614950537984652
future_ge900,context_no_current,LogisticRegression,289,0.27335640138408307,0.782906746031746,0.7254681928468398,0.8403452992166522,0.0586107685560268,0.7532142857142857,0.7091498710592732,0.7972787003692983,0.6160763520678685,0.5712804810229735,0.6608722231127635
future_ge900,context_no_current,RandomForest,289,0.27335640138408307,0.8007837301587302,0.7278341488838592,0.8737333114336011,0.07443834823966429,0.7266071428571428,0.6254093840435757,0.8278049016707099,0.5910634750112912,0.47200406013544327,0.7101228898871391
future_ge900,context_no_current,GradientBoosting,289,0.27335640138408307,0.7606944444444445,0.7066375459799105,0.8147513429089784,0.05516010047401425,0.6504166666666666,0.5671558507192942,0.7336774826140391,0.4865453384418902,0.35962306297807634,0.613467613905704
future_ge900,g1_no_current,LogisticRegression,289,0.27335640138408307,0.7997023809523809,0.7378401628562136,0.8615645990485482,0.06312471234302794,0.7177380952380952,0.6381220487329394,0.7973541417432509,0.5788327584288417,0.4898515409585572,0.6678139758991263
future_ge900,g1_no_current,RandomForest,289,0.27335640138408307,0.8040873015873016,0.7316313578637933,0.8765432453108098,0.07393463645255945,0.7366666666666666,0.6420640269337055,0.8312693063996277,0.6047629446255136,0.48931770739386005,0.7202081818571672
future_ge900,g1_no_current,GradientBoosting,289,0.27335640138408307,0.7892063492063492,0.7222444309013424,0.8561682675113561,0.06832848806633357,0.6655952380952381,0.5832120067580566,0.7479784694324196,0.5003119868637109,0.3518934217279927,0.6487305519994291
future_ge900,context_current,LogisticRegression,289,0.27335640138408307,0.856170634920635,0.811510999971084,0.9008302698701861,0.04557105607097042,0.8029761904761903,0.758660130244662,0.8472922507077186,0.6828792775100874,0.6325895301126492,0.7331690249075256
future_ge900,context_current,RandomForest,289,0.27335640138408307,0.858720238095238,0.8098372528140586,0.9076032233764174,0.04988059722569325,0.8183333333333331,0.7664505635002223,0.8702161031664439,0.7052228163992871,0.6393690888363741,0.7710765439622
future_ge900,context_current,GradientBoosting,289,0.27335640138408307,0.8349007936507936,0.7860164239101671,0.8837851633914201,0.049882009939414745,0.7308333333333333,0.66739771746093,0.7942689492057367,0.6117386645612453,0.5156386268996958,0.7078387022227948
future_ge900,g1_current,LogisticRegression,289,0.27335640138408307,0.8506547619047617,0.804502292667822,0.8968072311417015,0.04709435636422422,0.807738095238095,0.7612778747980957,0.8541983156780943,0.6906636595555884,0.6347863362572972,0.7465409828538796
future_ge900,g1_current,RandomForest,289,0.27335640138408307,0.8660119047619046,0.812391100082709,0.9196327094411002,0.05471510681550572,0.812857142857143,0.7665438558267933,0.8591704298874926,0.7142948279790385,0.6504802615880153,0.7781093943700618
future_ge900,g1_current,GradientBoosting,289,0.27335640138408307,0.8411706349206349,0.8022169042557031,0.8801243655855667,0.0397487047601345,0.7211904761904762,0.6938437746831037,0.7485371776978487,0.5994961332697706,0.553455210587819,0.6455370559517222
future_ge950,context_no_current,LogisticRegression,289,0.14186851211072665,0.7704092970521541,0.704719106642555,0.8360994874617532,0.06703080654040723,0.7407154195011338,0.668406934487698,0.8130239045145697,0.41695734938519324,0.3567699822188599,0.47714471655152657
future_ge950,context_no_current,RandomForest,289,0.14186851211072665,0.7672341269841271,0.7269703039455852,0.807497950022669,0.04108553371279785,0.7038310657596372,0.6152504560736247,0.7924116754456496,0.4072216993240353,0.3190097493827691,0.4954336492653015
future_ge950,context_no_current,GradientBoosting,289,0.14186851211072665,0.709108843537415,0.6767637857833916,0.7414539012914384,0.03300516097349324,0.5494886621315194,0.48817078360363414,0.6108065406594047,0.2127272727272727,0.08505931266793887,0.34039523278660655
future_ge950,g1_no_current,LogisticRegression,289,0.14186851211072665,0.8200181405895691,0.767877156093709,0.8721591250854293,0.05320508622026547,0.7493684807256236,0.6808603296741331,0.817876631777114,0.4559858532272325,0.3821539749305211,0.5298177315239438
future_ge950,g1_no_current,RandomForest,289,0.14186851211072665,0.8232766439909298,0.7617424679002361,0.8848108200816235,0.0627899756027486,0.7093321995464853,0.6075779674689987,0.8110864316239719,0.4502515880494074,0.3229463946985305,0.5775567814002843
future_ge950,g1_no_current,GradientBoosting,289,0.14186851211072665,0.7716405895691609,0.6770983572789312,0.8661828218593907,0.09647166560227523,0.5770997732426304,0.5249719291392705,0.6292276173459903,0.24820512820512822,0.1111755167165139,0.38523473969374256
future_ge950,context_current,LogisticRegression,289,0.14186851211072665,0.8526587301587302,0.811093564306232,0.8942238960112283,0.04241343454336546,0.7463798185941043,0.6823218186792894,0.8104378185089192,0.46007326007326005,0.38887858941010595,0.5312679307364141
future_ge950,context_current,RandomForest,289,0.14186851211072665,0.8539183673469388,0.8290364984460704,0.8788002362478072,0.025389662143743226,0.7475249433106577,0.7045437645988448,0.7905061220224705,0.5088888888888888,0.45951525169875757,0.5582625260790202
future_ge950,context_current,GradientBoosting,289,0.14186851211072665,0.8323259637188208,0.7830141770828191,0.8816377503548226,0.05031814962857329,0.7313514739229025,0.6900318276526204,0.7726711201931845,0.5654578754578755,0.49037031114615387,0.6405454397695971
future_ge950,g1_current,LogisticRegression,289,0.14186851211072665,0.8615340136054421,0.8150506612688857,0.9080173659419986,0.04743199218015961,0.7710430839002267,0.7383456310980115,0.8037405367024418,0.49523809523809526,0.460256969492225,0.5302192209839656
future_ge950,g1_current,RandomForest,289,0.14186851211072665,0.851563492063492,0.8192021066760039,0.8839248774509801,0.033021821823967505,0.7238514739229025,0.6366241518073131,0.8110787960384919,0.5188939165409754,0.3785999423254114,0.6591878907565394
future_ge950,g1_current,GradientBoosting,289,0.14186851211072665,0.8444659863945578,0.8096352933526763,0.8792966794364394,0.035541523512124064,0.7203628117913832,0.6804524509657208,0.7602731726170455,0.5514253393665158,0.47104693290590094,0.6318037458271307
