minimum_future_observations,n_rows,n_athletes,physical_tests,r2_fold_mean,r2_oof,mae_oof,rmse_oof,paired_delta_r2_oof,paired_delta_r2_ci_low,paired_delta_r2_ci_high
1,1041,289,Without,0.5786348621869,0.5893031271774902,53.3741097417929,76.48740177002007,0.0396950515022744,0.0123764842302499,0.0680716786487682
1,1041,289,With,0.6160480973711457,0.6289981786797647,51.30594467450836,72.69712423084646,0.0396950515022744,0.0123764842302499,0.0680716786487682
2,737,185,Without,0.51638264272377,0.5743905871508983,54.35196078257781,73.83893535662709,-0.0148476277030894,-0.0616443797777099,0.0240772669393416
2,737,185,With,0.5002733094339794,0.5595429594478089,54.93476421557602,75.11585107855501,-0.0148476277030894,-0.0616443797777099,0.0240772669393416
3,524,128,Without,0.5452838205604758,0.5677898759437706,53.53250308772552,71.31136962108032,-0.0072041322179511,-0.0459355599061352,0.0271157596996989
3,524,128,With,0.5261476572068009,0.5605857437258195,55.25392105002716,71.90322692409315,-0.0072041322179511,-0.0459355599061352,0.0271157596996989
