analysis,target,model,without_physical_tests,with_physical_tests,n_rows,n_athletes,bootstrap_replicates,delta_r2,delta_r2_ci_low,delta_r2_ci_high,delta_mae,delta_mae_ci_low,delta_mae_ci_high,delta_rmse,delta_rmse_ci_low,delta_rmse_ci_high
future_next_observation,next_points,Ridge,context_current_implements,g1_current,1034,289,2000,-0.00020995522802280675,-0.007931874443425602,0.007084629604188795,-0.3544646953833279,-1.1603419473559744,0.4994289672466099,-0.021002528100197537,-0.8066651828165211,0.7266096008581225
future_next_observation,next_points,RandomForest,context_current_implements,g1_current,1034,289,2000,-0.006947591420380705,-0.015877454356384536,0.0018165879576437533,-1.4888080051455361,-2.402608399353687,-0.5682366983041922,-0.6956608999384457,-1.6156742161068913,0.18065127222708163
future_next_observation,next_points,GradientBoosting,context_current_implements,g1_current,1034,289,2000,0.0008964879557681327,-0.030873073773051304,0.03454776257670144,-1.5633993353108195,-3.3550877070030825,0.11833113483749591,0.0864479316801976,-3.0357795090648647,3.2196272541509052
future_horizon_max,future_max_points,Ridge,context_current_implements,g1_current,1041,289,2000,0.010090810329413724,-0.006110866627554079,0.02646336458824467,0.054833463543779715,-1.4889989085375548,1.648850715432925,0.9689175918118451,-0.5773884112470995,2.5661612661715436
future_horizon_max,future_max_points,RandomForest,context_current_implements,g1_current,1041,289,2000,0.006129844069244661,-0.01216796962386225,0.0253046321223438,-0.1374838905467186,-1.6084577628407808,1.407689847142683,0.589072877555239,-1.1709350036838653,2.3245299750951984
future_horizon_max,future_max_points,GradientBoosting,context_current_implements,g1_current,1041,289,2000,0.03969505150227448,0.012376484230249934,0.06807167864876824,2.0681650672845393,0.10846763548197151,4.03514415744404,3.7902775391736157,1.1552931170906682,6.448856833552812
baseline_continuous_change,future_delta_points,Ridge,context_current_implements,g1_current,289,289,2000,-0.0047713771427595475,-0.03668114407357754,0.027198436590771653,-0.4853982921272646,-1.822311630494916,0.8628215825313009,-0.22992756392862645,-1.78517780382117,1.2645150898479343
baseline_continuous_change,future_delta_points,RandomForest,context_current_implements,g1_current,289,289,2000,-0.009319806376796524,-0.05654775331510646,0.03949079294010973,-1.0597844407895707,-3.235891504913698,0.9098497454847618,-0.44454421332268623,-2.764204038946996,1.7647640495082404
baseline_continuous_change,future_delta_points,GradientBoosting,context_current_implements,g1_current,289,289,2000,0.05820662549087219,-0.03269364447630017,0.15945299665007362,1.458023483450127,-2.3355510109174946,5.100435240528292,2.7139397116608848,-1.5197162538605937,7.263175985508279
