analysis,target,feature_set,model,n_rows,n_athletes,original_r2_fold_mean,corrected_r2_fold_mean,change_r2_fold_mean,original_r2_oof,corrected_r2_oof,change_r2_oof,original_mae_fold_mean,corrected_mae_fold_mean,change_mae_fold_mean,original_mae_oof,corrected_mae_oof,change_mae_oof,original_rmse_fold_mean,corrected_rmse_fold_mean,change_rmse_fold_mean,original_rmse_oof,corrected_rmse_oof,change_rmse_oof
future_next_observation,next_points,current_only,Ridge,1034,289,0.609781177062974,0.6110220457328293,0.0012408686698552884,0.6362032543260545,0.637131829490403,0.0009285751643485218,43.39836158076208,43.49223835685046,0.09387677608837919,43.393277528039576,43.486807730825426,0.09353020278584978,69.69817260937977,69.59047810000293,-0.10769450937684155,71.09443601197898,71.00364533242028,-0.09079067955870812
future_next_observation,next_points,context_current,Ridge,1034,289,0.6292411822379641,0.6311905294684631,0.001949347230498999,0.6532266378883197,0.6549899378992281,0.0017633000109084085,43.168165774910086,43.138243158417495,-0.029922616492591203,43.16287267727301,43.13287930239991,-0.02999337487310072,68.09364394348154,67.88603333844844,-0.20761060503309636,69.41112333833178,69.23442490551221,-0.17669843281956332
future_next_observation,next_points,context_current_implements,Ridge,1034,289,0.6273403986538263,0.6292409706363638,0.0019005719825374578,0.6512706927113481,0.6529985361176642,0.001727843406316154,43.376049213533605,43.35655946003171,-0.01948975350189386,43.37069706653297,43.351143005600136,-0.019554060932833295,68.28588299741713,68.08347983137769,-0.20240316603944564,69.60660180203583,69.43394832877776,-0.17265347325806601
future_next_observation,next_points,g1_current,Ridge,1034,289,0.6261882590307645,0.6283622223194871,0.002173963288722658,0.6508285372589966,0.6527885808896414,0.0019600436306448366,43.800599690196236,43.710366150524905,-0.09023353967133119,43.79598550104887,43.705607700983464,-0.0903778000654043,68.42242663040665,68.20034858187658,-0.22207804853006508,69.6507150848722,69.45495085687796,-0.1957642279942462
future_next_observation,next_points,current_only,RandomForest,1034,289,0.6160635627135196,0.6066151808266852,-0.00944838188683439,0.6382906060917063,0.6297120357284454,-0.008578570363260929,41.37933377791799,43.60950114854114,2.2301673706231497,41.377402163855926,43.605319980318384,2.2279178164624582,70.33160790072377,71.12240599493141,0.7907980942076449,70.89018380512496,71.72590001874586,0.8357162136208984
future_next_observation,next_points,context_current,RandomForest,1034,289,0.633102398668194,0.6350667561430192,0.0019643574748252624,0.6547677569946474,0.6571953973416764,0.0024276403470290253,40.1583139410582,41.15309782664965,0.9947838855914455,40.15523831755335,41.149237503591,0.9939991860376551,68.57019012027406,68.24986416195205,-0.32032595832201594,69.25671424299692,69.01278133949609,-0.2439329035008342
future_next_observation,next_points,context_current_implements,RandomForest,1034,289,0.6354985530685114,0.6352610258529319,-0.00023752721557956935,0.656348945030709,0.6570268844570706,0.000677939426361629,40.50046508812168,41.737438416984915,1.236973328863236,40.49701410715554,41.73365992100395,1.2366458138484049,68.36462666360475,68.29355882028501,-0.0710678433197387,69.09793190642269,69.02974160480754,-0.06819030161514661
future_next_observation,next_points,g1_current,RandomForest,1034,289,0.6329126188842313,0.6278218296594638,-0.005090789224767578,0.6544124000185824,0.6500792930366899,-0.004333106981892487,41.336036370471234,43.226622760503446,1.8905863900322117,41.33194783257766,43.2224679261495,1.890520093571837,68.53235094018112,68.94993830955777,0.41758736937664764,69.29234898909141,69.72540250474599,0.43305351565457784
future_next_observation,next_points,current_only,GradientBoosting,1034,289,0.6096724229293543,0.609699418004298,2.6995074943747532e-05,0.6339475219400837,0.6360705263560169,0.0021230044159331607,41.51125686408121,41.641639316077374,0.13038245199616227,41.5085622058668,41.63543447883668,0.12687227296987658,70.8448672778872,70.35674445625367,-0.4881228216335387,71.31450696733941,71.10740391199734,-0.20710305534207407
future_next_observation,next_points,context_current,GradientBoosting,1034,289,0.590028335686833,0.6141092896611803,0.024080953974347286,0.6101027196394249,0.637886918251904,0.02778419861247916,43.73842366383863,42.9037002522338,-0.8347234116048341,43.73385658810078,42.899134759097585,-0.8347218290031932,72.99116140846165,70.2065862121876,-2.784575196274048,73.6005926470628,70.92973147158766,-2.670861175475139
