period,task,outcome,model,without_physical_tests,with_physical_tests,n_instances,n_athletes,n_positive,bootstrap_replicates,delta_r2,delta_r2_ci_low,delta_r2_ci_high,delta_mae,delta_mae_ci_low,delta_mae_ci_high,delta_rmse,delta_rmse_ci_low,delta_rmse_ci_high,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_pr_auc,delta_pr_auc_ci_low,delta_pr_auc_ci_high,delta_brier,delta_brier_ci_low,delta_brier_ci_high
1997-2005,regression,future_max_points,GradientBoosting,context_current_implements,g1_current,290,127,,2000,0.07383286536477718,0.012336364814843227,0.15079518050162263,3.9612938979159438,0.7212794473768004,7.588717717783222,5.275613789258372,0.8987078011138604,10.638006713569476,,,,,,,,,
1997-2005,classification,future_ge900,RandomForest,context_current,g1_current,127,127,23.0,2000,,,,,,,,,,0.0012541806020066604,-0.03135496589940319,0.030973477535977494,0.017296670711351658,-0.04724887833733935,0.12011445251218589,0.008805969153532434,-0.0021562130969160266,0.019993551654218202
2006-2012,regression,future_max_points,GradientBoosting,context_current_implements,g1_current,221,93,,2000,0.10014219249821088,0.04064562223950593,0.17163561769491806,3.3968218672902495,-0.11524421060279283,7.01626484775969,6.9046331371097125,2.806470684187279,11.254144467428484,,,,,,,,,
2006-2012,classification,future_ge900,RandomForest,context_current,g1_current,87,87,24.0,2000,,,,,,,,,,0.0,-0.037066376246704225,0.03986982831410066,0.01512500114090487,-0.10075961895278417,0.09314357179711824,0.008406425474975637,-0.006395817429963558,0.025166062988197388
2013-2020,regression,future_max_points,GradientBoosting,context_current_implements,g1_current,530,94,,2000,0.01859449006815317,-0.02097545545240821,0.06361839842225049,0.47827730561592574,-2.3903939507248455,3.431781524555726,1.7222361557966508,-1.9405075261572882,5.642890172788399,,,,,,,,,
2013-2020,classification,future_ge900,RandomForest,context_current,g1_current,75,75,32.0,2000,,,,,,,,,,-0.011627906976744318,-0.04398856304985344,0.015067887559798116,0.03614249381910206,-0.03910830557939454,0.0977979397747171,-0.005596949179438537,-0.019776932527717932,0.007054270155000529
