outcome,model,feature_set,repeat,roc_auc,pr_auc,balanced_accuracy,f1,brier
future_ge950,LogisticRegression,context_current,1,0.8468725413060582,0.5642613362798985,0.7469020456333595,0.46153846153846156,0.15456424480892803
future_ge950,LogisticRegression,context_current,2,0.8507081038552321,0.5663896583532244,0.7245279307631787,0.4409448818897638,0.1519902059548753
future_ge950,LogisticRegression,context_current,3,0.8402832415420928,0.5806887839655773,0.7428697875688435,0.45454545454545453,0.15784210294588072
future_ge950,LogisticRegression,context_current,4,0.8517899291896145,0.5986375832776987,0.7692761605035405,0.48120300751879697,0.1532065312900275
future_ge950,LogisticRegression,context_current,5,0.8257277734067663,0.5312052144901342,0.7408536585365854,0.45112781954887216,0.1599175054734922
future_ge950,LogisticRegression,context_current,6,0.8404799370574351,0.5705373409526164,0.7286585365853658,0.4393939393939394,0.15894301703150227
future_ge950,LogisticRegression,context_current,7,0.8315302911093627,0.5172241566170809,0.7164634146341464,0.42748091603053434,0.159423390696739
future_ge950,LogisticRegression,context_current,8,0.8204169944925256,0.5286764696890133,0.7144472856018883,0.42424242424242425,0.16352744168933148
future_ge950,LogisticRegression,context_current,9,0.850609756097561,0.5699678489186728,0.7611132966168371,0.47692307692307695,0.15085036207951855
future_ge950,LogisticRegression,context_current,10,0.8354642014162077,0.5411485574070916,0.7367230527143981,0.453125,0.15653094717935515
future_ge950,LogisticRegression,g1_current,1,0.8461841070023604,0.5805478359842445,0.7711939417781275,0.496,0.1472523154315922
future_ge950,LogisticRegression,g1_current,2,0.862411487018096,0.6133191910466401,0.7671616837136113,0.4881889763779528,0.14059127286087614
future_ge950,LogisticRegression,g1_current,3,0.8464791502753738,0.6217243332688305,0.7611132966168371,0.47692307692307695,0.14893995986312816
future_ge950,LogisticRegression,g1_current,4,0.8440204563335957,0.6172487609577231,0.73470692368214,0.4496124031007752,0.15034292422895978
future_ge950,LogisticRegression,g1_current,5,0.8345790715971675,0.5715878763807726,0.7752261998426435,0.5040650406504065,0.15086095839159364
future_ge950,LogisticRegression,g1_current,6,0.8425452399685287,0.5918104268266391,0.757081038552321,0.4696969696969697,0.15296016944498755
future_ge950,LogisticRegression,g1_current,7,0.826219512195122,0.5441605055703257,0.7366247049567269,0.4628099173553719,0.1540395861193351
future_ge950,LogisticRegression,g1_current,8,0.8291699449252556,0.5569428652878654,0.7366247049567269,0.4628099173553719,0.1522127055399155
future_ge950,LogisticRegression,g1_current,9,0.857690794649882,0.6096181997800257,0.8016325727773407,0.532258064516129,0.14266018488978557
future_ge950,LogisticRegression,g1_current,10,0.8477576711250984,0.594133704277933,0.7671616837136113,0.4881889763779528,0.1473812649951405
future_ge950,RandomForest,context_current,1,0.8488394964594808,0.5908116739736575,0.7465086546026751,0.5098039215686274,0.12055810139482065
future_ge950,RandomForest,context_current,2,0.8637883556254917,0.6270460686143348,0.7648505114083399,0.5233644859813084,0.11843307165995043
future_ge950,RandomForest,context_current,3,0.8377753737214791,0.5143955164997613,0.7283634933123525,0.46846846846846846,0.12803307197024755
future_ge950,RandomForest,context_current,4,0.8501180173092054,0.567208561983014,0.7363296616837136,0.5,0.1200393792005648
future_ge950,RandomForest,context_current,5,0.8469217151848938,0.5767979080348055,0.7282651455546814,0.4807692307692308,0.12200370730303864
future_ge950,RandomForest,context_current,6,0.8399881982690794,0.5561078387923682,0.7160700236034618,0.46601941747572817,0.12307504525359142
future_ge950,RandomForest,context_current,7,0.8323170731707317,0.5811971456160318,0.7099232887490166,0.46464646464646464,0.12280312738431065
