outcome,model,feature_set,fold,n,n_positive,n_negative,roc_auc,pr_auc,balanced_accuracy,f1,brier
improve_ge50,GradientBoosting,g1_current,1,58,23,35,0.662111801242236,0.6034720311538384,0.6540372670807453,0.5777777777777777,0.23983521250545342
improve_ge50,GradientBoosting,g1_current,2,58,23,35,0.7652173913043478,0.7550314042976816,0.7546583850931676,0.6976744186046512,0.17846287473437517
improve_ge50,GradientBoosting,g1_current,3,58,23,35,0.768944099378882,0.6374344424551384,0.7043478260869566,0.6363636363636364,0.2132788585502632
improve_ge50,GradientBoosting,g1_current,4,58,22,36,0.7638888888888888,0.6720414230280862,0.648989898989899,0.5142857142857142,0.19292391265736106
improve_ge50,GradientBoosting,g1_current,5,57,22,35,0.7285714285714285,0.7198241948671331,0.6525974025974026,0.5777777777777777,0.20724342754446187
improve_ge75,LogisticRegression,context_current,1,58,19,39,0.727395411605938,0.6261831964315114,0.6754385964912281,0.5777777777777777,0.21794279362269234
improve_ge75,LogisticRegression,context_current,2,58,19,39,0.7557354925775979,0.5933722881865295,0.6619433198380567,0.5581395348837209,0.19588952711001253
improve_ge75,LogisticRegression,context_current,3,58,18,40,0.7486111111111111,0.5270597432598632,0.7513888888888889,0.6511627906976745,0.21237031963278763
improve_ge75,LogisticRegression,context_current,4,58,18,40,0.7722222222222221,0.6763764671634254,0.7208333333333333,0.6153846153846154,0.18023962010956932
improve_ge75,LogisticRegression,context_current,5,57,18,39,0.8561253561253562,0.761347612149722,0.7606837606837606,0.6666666666666666,0.1705481140211743
improve_ge75,LogisticRegression,g1_current,1,58,19,39,0.7462887989203778,0.6487856861196848,0.6234817813765182,0.5217391304347826,0.21297698860920475
improve_ge75,LogisticRegression,g1_current,2,58,19,39,0.7368421052631579,0.5717694493478582,0.6484480431848854,0.5365853658536586,0.2005864819742137
improve_ge75,LogisticRegression,g1_current,3,58,18,40,0.7583333333333333,0.5548864470789904,0.726388888888889,0.6222222222222222,0.20617230475387116
